epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.838,0.29506,0.73836,0.9327,0.99976,0.96964,0.96799,0.9554,0.25835,0.31702,0.49602,0.000665365,0.000665365,0.000665365
2,114.626,0.26421,0.40119,0.90612,0.99279,0.96205,0.97662,0.94161,0.29528,0.37704,0.554,0.00130566,0.00130566,0.00130566
3,167.639,0.22962,0.3225,0.89446,0.99802,0.95742,0.97314,0.96421,0.23526,0.30472,0.49387,0.00191955,0.00191955,0.00191955
4,221.201,0.22328,0.27872,0.88513,0.99581,0.96964,0.97492,0.8759,0.39307,0.21622,0.59771,0.0018812,0.0018812,0.0018812
5,273.631,0.19837,0.25732,0.88778,0.98509,0.93928,0.96654,0.87606,0.28143,0.46296,0.52314,0.0018416,0.0018416,0.0018416
6,325.998,0.18262,0.2416,0.88304,0.99798,0.96964,0.9695,0.96593,0.21487,0.22911,0.47935,0.001802,0.001802,0.001802
7,381.528,0.18907,0.25072,0.88425,0.99794,0.96964,0.96972,0.96151,0.26924,0.3269,0.5242,0.0017624,0.0017624,0.0017624
8,450.344,0.1741,0.22181,0.87981,0.99384,0.96964,0.98693,0.9423,0.25731,0.22811,0.54802,0.0017228,0.0017228,0.0017228
9,505.915,0.15664,0.20366,0.87718,0.99972,0.96964,0.98006,0.96192,0.23195,0.24064,0.53018,0.0016832,0.0016832,0.0016832
10,558.783,0.1417,0.18677,0.87509,0.99701,0.96774,0.965,0.93942,0.25339,0.20822,0.53509,0.0016436,0.0016436,0.0016436
11,609.149,0.14366,0.18863,0.87341,0.99923,0.96964,0.97441,0.96546,0.21127,0.21605,0.48857,0.001604,0.001604,0.001604
12,660.573,0.13022,0.16947,0.87413,0.99766,0.96964,0.96866,0.93712,0.21229,0.20656,0.49921,0.0015644,0.0015644,0.0015644
13,710.087,0.12355,0.16668,0.8669,0.99405,0.96964,0.9713,0.9652,0.21332,0.2143,0.49459,0.0015248,0.0015248,0.0015248
14,761.845,0.12303,0.16571,0.86799,0.99983,0.96964,0.96833,0.965,0.28181,0.18797,0.52134,0.0014852,0.0014852,0.0014852
15,815.918,0.12129,0.15936,0.86588,0.99989,0.96964,0.965,0.96112,0.20613,0.22167,0.50646,0.0014456,0.0014456,0.0014456
16,871.137,0.11583,0.15514,0.86765,0.9961,0.96896,0.98062,0.96838,0.18102,0.19649,0.47771,0.001406,0.001406,0.001406
17,924.708,0.11016,0.14801,0.86401,0.99971,0.96964,0.97628,0.96574,0.16561,0.18145,0.46854,0.0013664,0.0013664,0.0013664
18,978.39,0.10225,0.14207,0.86494,0.99977,0.96964,0.96951,0.96445,0.20374,0.21618,0.49325,0.0013268,0.0013268,0.0013268
19,1032.1,0.10578,0.14001,0.86635,0.99692,0.96964,0.96498,0.96059,0.18251,0.2371,0.48731,0.0012872,0.0012872,0.0012872
20,1093.12,0.10614,0.14288,0.85859,0.99635,0.96964,0.97182,0.96462,0.24276,0.3131,0.53561,0.0012476,0.0012476,0.0012476
21,1141.4,0.10053,0.13522,0.86728,0.95883,0.95636,0.9749,0.94291,0.22267,0.25359,0.51647,0.001208,0.001208,0.001208
22,1188.03,0.1008,0.13885,0.86712,0.99406,0.96964,0.97018,0.96321,0.22841,0.26316,0.5015,0.0011684,0.0011684,0.0011684
23,1231.18,0.09595,0.13048,0.86324,0.99354,0.96964,0.96776,0.94934,0.21003,0.23166,0.49359,0.0011288,0.0011288,0.0011288
24,1274.17,0.09921,0.1352,0.86285,0.99587,0.96964,0.98674,0.96898,0.16494,0.20534,0.46421,0.0010892,0.0010892,0.0010892
25,1316.57,0.09797,0.13498,0.8622,0.99237,0.96964,0.96997,0.96537,0.15248,0.24538,0.46149,0.0010496,0.0010496,0.0010496
26,1361.99,0.09089,0.126,0.86415,0.99204,0.96964,0.96962,0.96348,0.17707,0.21482,0.47551,0.00101,0.00101,0.00101
27,1417.45,0.08667,0.12248,0.86443,0.99593,0.96964,0.96496,0.95899,0.21021,0.22397,0.49582,0.0009704,0.0009704,0.0009704
28,1471.54,0.08666,0.12058,0.86656,0.99392,0.96964,0.96496,0.9636,0.19635,0.19244,0.4893,0.0009308,0.0009308,0.0009308
29,1523.07,0.0825,0.11806,0.85999,0.99185,0.96964,0.96488,0.96362,0.15141,0.14899,0.4491,0.0008912,0.0008912,0.0008912
30,1578.06,0.08982,0.12497,0.86109,0.99588,0.96964,0.96496,0.95357,0.19698,0.26389,0.51378,0.0008516,0.0008516,0.0008516
31,1633.28,0.08498,0.12116,0.86273,0.99537,0.95825,0.97689,0.92894,0.17296,0.20937,0.48339,0.000812,0.000812,0.000812
32,1689.16,0.08138,0.12166,0.86128,0.99488,0.96964,0.96837,0.9439,0.18897,0.21609,0.49591,0.0007724,0.0007724,0.0007724
33,1743.23,0.07987,0.11274,0.86031,0.99319,0.96964,0.96496,0.96394,0.16248,0.18663,0.47215,0.0007328,0.0007328,0.0007328
34,1796.45,0.07594,0.11004,0.85961,0.99114,0.96964,0.96807,0.9601,0.18168,0.20952,0.47782,0.0006932,0.0006932,0.0006932
35,1852.11,0.0713,0.10816,0.8612,0.9896,0.96964,0.97811,0.96187,0.17721,0.21431,0.48012,0.0006536,0.0006536,0.0006536
36,1906.16,0.07222,0.10793,0.85395,0.97799,0.97154,0.97457,0.96624,0.19162,0.21402,0.48701,0.000614,0.000614,0.000614
37,1960.48,0.06732,0.10249,0.8609,0.99592,0.96964,0.96498,0.96205,0.19262,0.22185,0.48283,0.0005744,0.0005744,0.0005744
38,2015.19,0.06821,0.10422,0.86198,0.98427,0.96964,0.9649,0.96236,0.17175,0.22606,0.47965,0.0005348,0.0005348,0.0005348
