epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,144.064,0.7542,1.10003,0.99228,0.73331,0.55972,0.63916,0.51444,0.829,1.13267,0.97155,8.75806e-05,8.75806e-05,8.75806e-05
2,271.629,0.79121,1.14917,1.00115,0.70553,0.56643,0.62503,0.49721,0.85632,1.19221,0.98705,0.000157898,0.000157898,0.000157898
3,405.392,0.79801,1.16862,1.01015,0.68364,0.5845,0.62995,0.49961,0.85509,1.18991,0.98233,0.000210857,0.000210857,0.000210857
4,540.685,0.79558,1.15732,1.00599,0.71806,0.56758,0.63406,0.50289,0.84539,1.20112,0.98805,0.000184889,0.000184889,0.000184889
5,675.944,0.77765,1.13063,1.00052,0.72312,0.56597,0.64794,0.51956,0.83204,1.16614,0.97939,0.000158852,0.000158852,0.000158852
6,816.307,0.76215,1.09048,0.99664,0.70223,0.57366,0.63817,0.50297,0.84879,1.18422,0.99031,0.000132815,0.000132815,0.000132815
7,947.366,0.75562,1.04999,0.98671,0.69517,0.59676,0.64714,0.51868,0.82709,1.15913,0.97361,0.000106778,0.000106778,0.000106778
8,1083.84,0.75882,1.04145,0.99479,0.73059,0.58012,0.65577,0.52926,0.81661,1.14319,0.96917,8.0741e-05,8.0741e-05,8.0741e-05
9,1218.36,0.74003,1.02081,0.97937,0.70669,0.59112,0.6596,0.52924,0.81404,1.11463,0.96998,5.4704e-05,5.4704e-05,5.4704e-05
10,1346.06,0.72819,0.99592,0.98095,0.72253,0.59088,0.66438,0.53552,0.8079,1.10209,0.96755,2.8667e-05,2.8667e-05,2.8667e-05
