epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.1,1.21278,4.30988,1.2441,0.12818,0.13441,0.06582,0.05687,1.14282,3.51209,1.15481,8.75806e-05,8.75806e-05,8.75806e-05
2,372.092,1.20992,3.39374,1.22711,0.18333,0.21622,0.13852,0.10888,1.09979,2.89689,1.12941,0.000171777,0.000171777,0.000171777
3,500.743,1.15598,2.89169,1.20296,0.22486,0.26266,0.20799,0.16434,1.05814,2.65879,1.11899,0.000252502,0.000252502,0.000252502
4,619.837,1.10187,2.59826,1.18089,0.31808,0.32276,0.26845,0.20908,0.99614,2.43595,1.07261,0.000247378,0.000247378,0.000247378
5,757.936,1.0763,2.42531,1.16684,0.34635,0.33935,0.28653,0.21766,0.9942,2.62122,1.06751,0.00024217,0.00024217,0.00024217
6,887.562,1.03562,2.26505,1.14212,0.46399,0.34406,0.36228,0.27899,0.95841,2.16521,1.05417,0.000236963,0.000236963,0.000236963
7,1034.1,1.04416,2.15707,1.14143,0.45508,0.40384,0.39879,0.30607,0.93924,2.01503,1.04727,0.000231756,0.000231756,0.000231756
8,1167.16,1.00308,2.06005,1.12646,0.51431,0.39815,0.41327,0.31441,0.94409,1.94389,1.04618,0.000226548,0.000226548,0.000226548
9,1298.83,1.00777,1.99631,1.12453,0.57584,0.39927,0.42684,0.32723,0.94969,1.87221,1.04004,0.000221341,0.000221341,0.000221341
10,1428.78,0.99565,1.93882,1.12489,0.58687,0.41109,0.44429,0.34175,0.93095,1.74003,1.03776,0.000216133,0.000216133,0.000216133
11,1558.77,0.98686,1.87413,1.11859,0.5593,0.44452,0.46582,0.35929,0.92046,1.68733,1.02622,0.000210926,0.000210926,0.000210926
12,1691.94,0.97307,1.81529,1.11113,0.58943,0.45109,0.48276,0.37375,0.92751,1.60902,1.03374,0.000205719,0.000205719,0.000205719
13,1831.62,0.96511,1.76513,1.10462,0.57469,0.46682,0.49095,0.38015,0.91433,1.58223,1.02955,0.000200511,0.000200511,0.000200511
14,1966.67,0.94613,1.69633,1.09514,0.64724,0.47448,0.52267,0.40134,0.90004,1.49993,1.02619,0.000195304,0.000195304,0.000195304
15,2100.26,0.95116,1.67476,1.10058,0.64997,0.49665,0.53708,0.41807,0.89851,1.47573,1.01795,0.000190096,0.000190096,0.000190096
16,2247.83,0.93516,1.6289,1.0931,0.65706,0.51044,0.54479,0.42089,0.89489,1.41437,1.02059,0.000184889,0.000184889,0.000184889
17,2380.13,0.93617,1.60797,1.09375,0.61601,0.51063,0.53991,0.42148,0.88868,1.43975,1.01379,0.000179682,0.000179682,0.000179682
18,2517.29,0.92514,1.56226,1.08631,0.61704,0.52317,0.54462,0.42221,0.88659,1.44685,1.01579,0.000174474,0.000174474,0.000174474
19,2650.5,0.92049,1.55491,1.07994,0.67213,0.51593,0.56032,0.43509,0.87906,1.37367,1.01311,0.000169267,0.000169267,0.000169267
20,2787.3,0.90601,1.52044,1.07734,0.65467,0.51947,0.55477,0.43769,0.88394,1.42046,1.01041,0.000164059,0.000164059,0.000164059
21,2916.65,0.91296,1.49302,1.08233,0.687,0.51086,0.57688,0.45355,0.86199,1.31153,1.00263,0.000158852,0.000158852,0.000158852
22,3053.84,0.90819,1.47711,1.07498,0.68848,0.53223,0.58416,0.45567,0.85884,1.2997,1.00245,0.000153645,0.000153645,0.000153645
23,3186.94,0.88647,1.44709,1.07008,0.6691,0.54684,0.59129,0.46662,0.84973,1.27259,0.99582,0.000148437,0.000148437,0.000148437
24,3328.59,0.88728,1.42703,1.0707,0.70011,0.54297,0.59772,0.47221,0.86264,1.29631,1.00072,0.00014323,0.00014323,0.00014323
25,3467.96,0.88595,1.40744,1.06751,0.67244,0.5588,0.59613,0.47115,0.85338,1.28131,0.99971,0.000138022,0.000138022,0.000138022
26,3607.42,0.8867,1.39141,1.06794,0.68809,0.5575,0.60624,0.47692,0.84613,1.23264,0.99517,0.000132815,0.000132815,0.000132815
27,3740.21,0.87749,1.37349,1.06513,0.70761,0.53793,0.61155,0.47996,0.85434,1.226,0.99985,0.000127608,0.000127608,0.000127608
28,3880.59,0.87725,1.36731,1.06237,0.72137,0.53953,0.61083,0.48425,0.84258,1.22057,0.99284,0.0001224,0.0001224,0.0001224
29,4017.69,0.86944,1.33528,1.06132,0.66783,0.57649,0.61228,0.48591,0.84562,1.22852,0.99735,0.000117193,0.000117193,0.000117193
30,4148.69,0.86267,1.31533,1.05945,0.71959,0.55622,0.62527,0.49745,0.83804,1.17765,0.99024,0.000111985,0.000111985,0.000111985
31,4285.59,0.8526,1.29901,1.05339,0.6934,0.57402,0.62663,0.4989,0.83128,1.18122,0.98445,0.000106778,0.000106778,0.000106778
32,4454.83,0.85441,1.28994,1.05454,0.66362,0.58693,0.62596,0.49558,0.84141,1.18431,0.9896,0.000101571,0.000101571,0.000101571
33,4628.1,0.85164,1.28368,1.05006,0.71265,0.56195,0.6304,0.50312,0.82741,1.15736,0.98234,9.63632e-05,9.63632e-05,9.63632e-05
34,4761.01,0.85076,1.27319,1.0495,0.72144,0.55898,0.63671,0.50459,0.82891,1.15605,0.98401,9.11558e-05,9.11558e-05,9.11558e-05
35,4891.5,0.84237,1.26245,1.04807,0.72056,0.55848,0.63182,0.50034,0.82728,1.1635,0.98145,8.59484e-05,8.59484e-05,8.59484e-05
36,5020.12,0.86068,1.26929,1.05643,0.71997,0.56888,0.6355,0.50418,0.81546,1.13641,0.97916,8.0741e-05,8.0741e-05,8.0741e-05
37,5138.72,0.84256,1.2477,1.04697,0.69722,0.59843,0.64186,0.51134,0.81836,1.12522,0.97637,7.55336e-05,7.55336e-05,7.55336e-05
